#,H#,K,itime
1,224,7.89,60
2,404,11.944,900
3,238,11.358,600
4,215,9.72,300
5,228,8.648,120
6,487,10.336,420
7,471,11.55,750
8,240,9.469,300
9,495,10.321,420
10,360,12.336,1200
11,266,11.221,600
12,132,11.278,600
13,483,9.587,300
14,703,9.325,180
15,247,9.732,300
16,438,9.837,300
17,135,9.131,180
18,345,10.392,420
19,258,9.386,180
20,530,11.895,900
21,443,9.195,180
22,369,11.116,600
23,302,10.541,450
24,220,11.514,750
25,324,11.899,900
26,453,11.1,600
27,157,10.971,600
28,431,8.66,120
29,154,11.068,600
30,275,10.191,420
31,245,9.517,300
32,546,9.841,300
33,456,11.969,900
34,219,10.918,600
35,398,8.62,120
36,478,10.34,420
37,386,9.189,180
38,504,8.509,120
39,476,10.053,300
40,261,11.137,600
41,223,9.88,300
42,413,9.831,300
43,172,9.793,300
44,389,7.898,60
45,248,11.168,600
46,344,6.9,4
47,137,11.559,750
48,287,9.817,300
49,420,10.678,450
50,306,8.37,120
51,291,10.395,420
52,370,9.831,300
53,250,12.144,900
54,145,12.932,1500
55,490,9.851,300
56,213,7.13,4
57,202,9.002,180
58,296,12.818,1200
59,159,11.375,750
60,354,6.43,4
61,435,11.046,600
62,322,9.435,180
63,522,10.43,420
64,479,12.004,900
65,412,10.473,420
66,171,8.61,120
67,442,10.638,450
68,165,10.646,450
69,457,11.528,750
70,170,8.5,120
71,484,9.515,300
72,375,9.342,180
73,252,9.314,180
74,450,9.674,300
75,244,10.151,300
76,259,7.811,60
77,410,11.181,600
78,138,12.748,1200
79,239,12.145,900
80,440,8.521,120
81,313,9.687,300
82,388,9.096,180
83,295,10.501,450
84,332,9.87,300
85,425,7.58,30
86,177,10.326,420
87,253,7.924,60
88,331,10.563,450
89,436,8.55,120
90,163,10.478,420
91,337,7.635,30
92,713,8.704,120
93,282,10.944,600
94,214,10.085,300
95,288,10.622,450
96,408,10.521,450
97,188,11.594,750
98,277,9.125,180
99,217,8.46,120
100,229,10.278,420
101,204,9.372,180
102,197,10.989,600
