mass_2myr,mass_1myr,mass_3myr,teff_2myr,teff_1myr,teff_3myr,logL_2myr,logL_1myr,logL_3myr,logg_2myr,logg_1myr,logg_3myr,Kmag_2myr,Kmag_1myr,Kmag_3myr
0.01,0.01,0.01,2236.0,2345.0,2142.0,-2.96,-2.7,-3.13,3.75,3.57,3.85,8.99,8.38,9.36
0.015,0.015,0.015,2452.0,2504.0,2406.0,-2.65,-2.42,-2.79,3.78,3.59,3.88,8.32,7.77,8.64
0.02,0.02,0.02,2571.0,2598.0,2545.0,-2.46,-2.25,-2.57,3.79,3.6,3.89,7.88,7.37,8.16
0.03,0.03,0.03,2707.0,2710.0,2706.0,-2.14,-1.98,-2.17,3.74,3.58,3.77,7.16,6.74,7.24
0.04,0.04,0.04,2784.0,2779.0,2784.0,-1.9,-1.81,-1.92,3.68,3.58,3.69,6.59,6.36,6.64
0.05,0.05,0.05,2829.0,2824.0,2831.0,-1.72,-1.65,-1.74,3.62,3.54,3.64,6.16,5.97,6.21
0.06,0.06,0.06,2867.0,2864.0,2870.0,-1.58,-1.53,-1.61,3.57,3.52,3.61,5.81,5.68,5.9
0.07,0.07,0.07,2902.0,2897.0,2906.0,-1.45,-1.41,-1.51,3.54,3.5,3.6,5.52,5.42,5.66
0.072,0.072,0.072,2907.0,2896.0,2911.0,-1.43,-1.39,-1.49,3.53,3.49,3.59,5.46,5.36,5.61
0.075,0.075,0.075,2914.0,2897.0,2919.0,-1.4,-1.36,-1.46,3.52,3.48,3.59,5.38,5.29,5.55
0.08,0.08,0.08,2924.0,2898.0,2931.0,-1.35,-1.31,-1.42,3.51,3.45,3.58,5.26,5.16,5.44
0.09,0.09,0.09,2934.0,2908.0,2956.0,-1.26,-1.23,-1.36,3.48,3.43,3.59,5.05,4.95,5.31
0.1,0.1,0.1,2972.0,2936.0,2998.0,-1.26,-1.17,-1.44,3.54,3.44,3.74,5.04,4.82,5.5
0.11,0.11,0.11,2996.0,2955.0,3016.0,-1.21,-1.1,-1.39,3.55,3.41,3.75,4.93,4.63,5.4
0.13,0.13,0.13,3034.0,3012.0,3052.0,-1.15,-0.96,-1.32,3.59,3.38,3.76,4.8,4.3,5.22
0.15,0.15,0.15,3076.0,3078.0,3088.0,-1.1,-0.85,-1.25,3.62,3.37,3.78,4.68,4.02,5.07
0.17,0.17,0.17,3126.0,3142.0,3127.0,-1.02,-0.73,-1.18,3.62,3.34,3.78,4.47,3.71,4.88
0.2,0.2,0.2,3202.0,3226.0,3196.0,-0.96,-0.66,-1.1,3.67,3.38,3.81,4.34,3.56,4.71
0.3,0.3,0.3,3428.0,3428.0,3404.0,-0.72,-0.48,-0.86,3.73,3.49,3.86,3.78,3.14,4.15
0.4,0.4,0.4,3606.0,3634.0,3582.0,-0.55,-0.32,-0.68,3.77,3.55,3.89,3.4,2.8,3.74
0.5,0.5,0.5,3763.0,3802.0,3731.0,-0.41,-0.18,-0.54,3.8,3.59,3.91,3.1,2.54,3.43
0.6,0.6,0.6,3906.0,3955.0,3868.0,-0.29,-0.07,-0.42,3.83,3.63,3.94,2.89,2.35,3.2
0.7,0.7,0.7,4033.0,4078.0,3998.0,-0.18,0.04,-0.31,3.84,3.64,3.96,2.69,2.16,2.99
0.8,0.8,0.8,4153.0,4192.0,4120.0,-0.09,0.13,-0.21,3.86,3.66,3.97,2.52,2.01,2.82
0.9,0.9,0.9,4259.0,4290.0,4232.0,-0.0,0.21,-0.13,3.87,3.66,3.98,2.38,1.87,2.68
1.0,1.0,1.0,4350.0,4377.0,4330.0,0.07,0.28,-0.05,3.87,3.67,3.99,2.25,1.75,2.55
1.1,1.1,1.1,4432.0,4456.0,4421.0,0.14,0.35,0.02,3.88,3.68,3.99,2.14,1.63,2.43
1.2,1.2,1.2,4508.0,4529.0,4505.0,0.2,0.41,0.09,3.88,3.68,4.0,2.04,1.53,2.32
1.3,1.3,1.3,4581.0,4596.0,4588.0,0.26,0.47,0.15,3.89,3.69,4.0,1.94,1.43,2.21
1.4,1.4,1.4,4653.0,4658.0,4671.0,0.32,0.52,0.22,3.89,3.69,4.0,1.84,1.35,2.1
