mass,teff_2myr,teff_1myr,teff_3myr,logL_2myr,logL_1myr,logL_3myr
0.4,3630.780547701014,3723.917062545687,3622.4299841669877,-0.621,-0.389,-0.732
0.5,3819.442708400464,3990.2490236214207,3767.0379898390893,-0.473,-0.211,-0.598
0.6,4027.170343254591,4178.303666466218,3935.5007545577764,-0.325,-0.076,-0.465
0.7,4216.965034285822,4345.102241715715,4130.475019901614,-0.199,0.045,-0.339
0.8,4375.221051582521,4487.453899331323,4295.364267648873,-0.092,0.149,-0.229
0.9,4518.559443749222,4602.565735813559,4436.086439314323,0.005,0.238,-0.132
1.0,4634.46919736288,4709.77326396953,4581.418867145335,0.09,0.319,-0.042
1.1,4742.419852602448,4786.300923226385,4709.77326396953,0.166,0.389,0.041
1.2,4830.5880203977285,4852.88500162121,4808.393484497285,0.234,0.45,0.115
1.3,4897.7881936844615,4909.078761526029,4909.078761526029,0.296,0.507,0.187
1.4,4965.923214503363,4965.923214503363,4988.844874600121,0.355,0.558,0.254
1.5,5023.4258952238715,5011.872336272725,5069.907082747044,0.409,0.606,0.32
1.6,5081.594425605605,5046.612975635282,5140.436515824259,0.462,0.651,0.383
1.8,5188.000389289609,5116.818355403078,5296.634438916581,0.567,0.734,0.521
2.0,5284.452517751803,5176.068319505676,5457.57861091271,0.671,0.81,0.683
2.5,5559.042572704037,5308.8444423098845,7063.175542629623,1.029,0.993,1.564
