mass,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,L_2myr,L_1myr,L_3myr
0.5,3894.288831487715,3978.697620346652,3819.3490669848584,1.5084264428020884,2.005917874679802,1.3225526110693115,0.4712430747091732,0.9066384688754671,0.32606303395172986
0.6,4070.0489709453677,4130.988519103455,4013.204621255341,1.6102644431049862,2.1036438598069807,1.3987928728102543,0.640674823921678,1.1601730746429397,0.4546367305068277
0.7,4200.667933245961,4248.014696300697,4159.891154333205,1.697509499344708,2.2134408890209305,1.4732755018994985,0.8074753139781731,1.4357218693304186,0.5848319546903565
0.7999999999999999,4302.535049695394,4343.1096452531565,4264.605914963142,1.7894353809980246,2.330907650948846,1.555160936494664,0.9878839114425813,1.739308945451722,0.720560313900664
0.8999999999999999,4400.13101356809,4427.064557947817,4368.70580882401,1.8863101356809007,2.447401866695947,1.6367642542046337,1.2011321589298367,2.070906301463792,0.878983161526668
0.9999999999999999,4478.248753520474,4489.431404002358,4461.769104051696,1.982858172526389,2.5818017198349423,1.713614624310172,1.4243375790253392,2.437100121053447,1.0477519957150578
1.0999999999999999,4550.858078042087,4553.528568322428,4538.576916833866,2.0543100290942546,2.677953617244185,1.786230669341846,1.6306432073414765,2.775979281194306,1.2201142397140154
1.1999999999999997,4628.0,4607.854597898954,4624.319784070047,2.142043103848874,2.7677626399198685,1.8643305805677077,1.8965374884551969,3.1110272655813964,1.431567269714858
1.2999999999999998,4688.920999908761,4665.832696931916,4690.293597697735,2.2216070030108868,2.9225640409077855,1.9336939004332132,2.1493116785917645,3.645237664780602,1.6301052318540026
1.4,4745.943687495089,4705.381627830748,4762.793238430202,2.3127738439047114,2.982784419646451,2.022826067660226,2.444138403596579,3.9261000721991546,1.8971829780135028
1.4999999999999998,4794.560553199617,4745.448784015908,4838.6515344898935,2.4018922430891085,3.0906787038113697,2.103292839047164,2.7447149994754207,4.36254757898417,2.185391511804933
1.5999999999999996,4842.231692028091,4791.347203882337,4902.905764524747,2.4926179847078562,3.1943586524473213,2.1935372802042346,3.0775233211940933,4.839876657494158,2.5044687355275754
1.6999999999999997,4889.722744045664,4816.120755364629,4962.7104036686105,2.582457037427255,3.3028264034366814,2.287516543404725,3.434004050557719,5.285005059930698,2.859952821230489
1.7999999999999998,4942.399417020478,4857.174964997139,5038.089610810375,2.6771484224412023,3.4069441612836195,2.3897196240248464,3.850728385676555,5.816894948930928,3.3141027887560632
1.8999999999999997,4981.366877954238,4882.312762170311,5108.821801397369,2.7800504971295803,3.5100359492275643,2.5085905681135516,4.288375575761259,6.303556160962965,3.8625254394878374
1.9999999999999996,5038.744364401902,4908.618534449262,5186.106624863044,2.8902676582073727,3.6391094830667896,2.6468828073886765,4.850775817272625,6.921779963686661,4.56556251794505
2.2,5138.100155061806,4966.235317745013,5369.850687223557,3.131556899188592,3.8493687927903513,3.0553027991912045,6.155975557692917,8.115580267159391,6.991806503881716
2.5,5327.6365255155115,5058.132425421658,6032.53280409287,3.683483045602475,4.2005821498044424,4.360744508914291,9.846837556911261,10.397813673715266,22.687014395667273
3.0,6544.6297405375635,5218.738399492734,11328.352252322067,5.523622155677462,4.9886140198689075,2.320500099241736,50.4159878549217,16.623508533289424,79.76855565048706
4.0,15115.328515220703,8240.943450302708,15105.980774835438,2.324342969558594,6.642086025786889,2.318836537527427,253.5123126940625,183.14648473971144,251.56942324506312
5.0,17347.163942211806,17506.09941556934,17296.18137760432,2.633438521670572,2.6581848949931657,2.6509352222841716,564.42,596.4898246708019,565.0665020033454
6.0,19285.831977415095,19373.399698302877,19208.97940944204,2.9463339042462757,2.917650075424281,2.977091912732484,1079.5217358898608,1077.7657315210513,1084.4916472446369
7.0,21038.342325941536,21156.083969073068,20936.335876282,3.245847855137095,3.1993053436423105,3.2925746016899997,1854.5715303573381,1842.6733587972083,1871.6264333032334
